28381,182设计园,高峰专线79路,511842.799269000010000,2505130.479450000000000
25089,182设计园,M346路,511851.960881999980000,2505127.288970000100000
25405,182设计园,M324路,511844.956085000010000,2505135.353399999900000
21393,182设计园,980路,511853.813984000010000,2505126.407550000100000
24107,182设计园,M273路,511854.638592000000000,2505124.859910000100000
28432,182设计园,高峰专线79路,511835.503604000030000,2505117.958999999800000
23479,182设计园,M224路,511861.122760000000000,2505123.656669999900000
27065,189工业区,M394路,520918.558754000000000,2505945.615230000100000
27009,189工业区,M394路,520920.130909000000000,2505933.195700000000000
29319,189工业区,M309路,520908.951590000010000,2505944.554360000000000
19069,189工业区,907路,520909.880930999990000,2505944.871220000100000
29507,189工业区,M309路,520921.457262000010000,2505942.580209999800000
30378,189工业区(临时),M357路,520833.982852999990000,2506034.188159999900000
30235,189工业区(临时站),M357路,520857.677563000000000,2506015.766869999900000
45443,189工业区后门,930路,521001.635969000000000,2506111.022690000000000
45420,189工业区后门,930路,520894.162367000010000,2505952.319809999800000
19065,228工业区,907路,520572.935674000010000,2506700.735410000200000
20646,228工业区,B679路,520481.917625000000000,2506648.704409999800000
20703,228工业区,B679路,520573.033977999990000,2506703.168209999800000
19066,228工业区,907路,520572.313474000020000,2506701.851669999800000
7744,22米大道中,B629路,526445.577530000010000,2496661.920119999900000
31916,25区商业街,603路,489253.843837999970000,2495977.923390000100000
43060,25区商业街,M376路,489267.077467000000000,2495966.297880000000000
42991,25区商业街,M376路,489250.455863000010000,2495991.922520000000000
32235,25区商业街,610路,489267.384945000000000,2495967.188200000200000
31453,25区商业街,603路,489254.046039999990000,2495990.320880000000000
33042,25区商业街,704路,489240.199987000030000,2495988.547069999900000
4668,25区商业街,382路,489263.590008000030000,2495967.458339999900000
31387,25区商业街,606路,489158.532746999990000,2496074.774739999800000
13341,25区商业街,高峰专线9路,489270.770675999990000,2495962.484939999900000
37546,25区商业街,M209路,489267.590577000000000,2495965.088959999800000
